n,mean_net,t,sharpe,label,slot,period
44,-86.93506396583926,-3.1564385140430953,-7.523865095985099,NQ+1.5%→半導体Long,am,ALL
13,-174.59672962187284,-2.715407880609547,-11.907851286890537,NQ+1.5%→半導体Long,am,IS
31,-50.173720303631676,-1.9000846959104771,-5.395877945570454,NQ+1.5%→半導体Long,am,OOS
44,-3.123854320834403,-0.2625046894072783,-0.625721002128434,NQ+1.5%→半導体Long,cls,ALL
13,2.6057894619139006,0.20148273185036292,0.8835602286062431,NQ+1.5%→半導体Long,cls,IS
31,-5.526608165212721,-0.34314648470812814,-0.9744705343513042,NQ+1.5%→半導体Long,cls,OOS
19,-27.4687193245571,-0.5976985501904098,-2.1680805144416455,AUD+1%→非鉄Long,full,ALL
5,-101.82082525248082,-1.669629578491983,-11.806063970213183,AUD+1%→非鉄Long,full,IS
14,-0.9143957788700652,-0.015788766637990573,-0.06671971650506694,AUD+1%→非鉄Long,full,OOS
19,-40.11539647909294,-1.0411250741665454,-3.7765575735092654,AUD+1%→非鉄Long,am,ALL
5,-140.39453387451977,-3.026807307670282,-21.402759725986527,AUD+1%→非鉄Long,am,IS
14,-4.3014188378690665,-0.0921592804364552,-0.38944403986794324,AUD+1%→非鉄Long,am,OOS
19,5.481084585184368,0.3985032070355163,1.4455230614846994,AUD+1%→非鉄Long,cls,ALL
5,19.286625443471216,2.929367267161795,20.7137545919601,AUD+1%→非鉄Long,cls,IS
14,0.5505342786533536,0.02969932526520986,0.1255025555522912,AUD+1%→非鉄Long,cls,OOS
