dt,mkt_am,mkt_pm,am_bucket
2025-11-18,-0.008489000068578206,-0.01454898402812791,-1〜-0.5%
2025-11-19,0.005432072388078226,-0.009519991295467581,+0.5〜+1%
2025-11-20,0.004787047224920225,-0.00403298119342553,0〜+0.5%
2025-11-21,0.01410105371759296,0.004172062008822723,+1〜+2%
2025-11-25,-0.010688340470292,-4.94506950764398e-05,-2〜-1%
2025-11-26,0.010933846126356722,0.0017608134927444496,+1〜+2%
2025-11-27,0.002437498633092793,-0.0005805404977865239,0〜+0.5%
2025-11-28,0.0008812719864559291,0.0027671391552772286,0〜+0.5%
2025-12-01,-0.01229149248868038,-0.0013370324097583596,-2〜-1%
2025-12-02,-0.0024103366417454865,-0.005139350430817586,-0.5〜0%
2025-12-03,0.0005854351032463583,-0.0011710736115517094,0〜+0.5%
2025-12-04,0.01285495553719563,0.0027878371025657394,+1〜+2%
2025-12-05,0.00011460929724524644,0.0004603803891345039,0〜+0.5%
2025-12-08,0.0008671167525288292,0.003481432384762007,0〜+0.5%
2025-12-09,0.0003170300541320993,-0.0009128359176943264,0〜+0.5%
2025-12-10,-0.002737354348272622,0.0005921488454254525,-0.5〜0%
2025-12-11,-0.011898414745457962,-0.0055623400518047365,-2〜-1%
2025-12-12,0.002810949753582577,0.002233465411697516,0〜+0.5%
2025-12-15,0.002997145371198116,0.00300154334382606,0〜+0.5%
2025-12-16,-0.014154594427811992,-0.0049790304063351085,-2〜-1%
2025-12-17,0.003154441286155659,-0.0007395533188691117,0〜+0.5%
2025-12-18,0.002499739129291269,-0.00024213536066991774,0〜+0.5%
2025-12-19,0.004358161056733779,-0.001888445030095175,0〜+0.5%
2025-12-22,-0.0043954922973745685,-0.0013573078958528896,-0.5〜0%
2025-12-23,0.0025255712462139194,0.001206396817499271,0〜+0.5%
2025-12-24,-0.00033574186619079376,-0.0018085437134384144,-0.5〜0%
2025-12-25,-0.0033714321335278235,0.001971017004379731,-0.5〜0%
2025-12-26,0.00243791930891911,-0.0032682095784654624,0〜+0.5%
