date,open_px,open_vol,gap_bps,fwd_bps,med20,vol_ratio,sym,gap_dir,vol_dir,quad
2025-06-16,3400.0,684100.0,179.64071856287455,-52.94117647058783,287750.0,2.3774109470026064,5713.T,UG,HV,UG_HV
2025-06-17,3401.0,220800.0,56.1797752808979,73.50779182593303,287750.0,0.7673327541268462,5713.T,UG,LV,UG_LV
2025-06-18,3439.0,279100.0,37.94512551079876,8.723466123872203,276700.0,1.0086736537766534,5713.T,UG,LV,UG_LV
2025-06-19,3439.0,200400.0,-8.715862870424251,-212.2710090142488,282300.0,0.7098831030818279,5713.T,DG,LV,DG_LV
2025-06-20,3397.0,371500.0,92.09744503862139,-73.59434795407682,282300.0,1.3159759121501948,5713.T,UG,HV,UG_HV
2025-06-23,3362.0,228100.0,-29.655990510083498,-89.23259964306985,287750.0,0.7927019982623805,5713.T,DG,LV,DG_LV
2025-06-24,3379.0,222200.0,141.05642256902806,-124.29712932820358,282300.0,0.7871059156925256,5713.T,UG,LV,UG_LV
2025-06-25,3356.0,242500.0,56.93736889421652,-98.33134684147815,273500.0,0.886654478976234,5713.T,UG,LV,UG_LV
2025-06-26,3325.0,113300.0,6.018657839301778,114.28571428571344,262050.0,0.4323602365960694,5713.T,UG,LV,UG_LV
2025-06-30,3580.0,538600.0,-52.792442345095395,-44.692737430167554,255650.0,2.106786622335224,5713.T,DG,HV,DG_HV
2025-07-01,3530.0,289800.0,-95.39842873176218,-39.660056657223606,267100.0,1.084986896293523,5713.T,DG,LV,DG_LV
2025-07-02,3505.0,270100.0,-31.285551763367003,245.36376604850307,267100.0,1.0112317484088356,5713.T,DG,LV,DG_LV
2025-07-03,3610.0,729300.0,52.910052910053466,257.61772853185596,262600.0,2.777227722772277,5713.T,UG,HV,UG_HV
2025-07-04,3670.0,322000.0,-89.11693221712147,-149.8637602179842,274600.0,1.1726147123088129,5713.T,DG,LV,DG_LV
2025-07-07,3575.0,171900.0,-110.65006915629283,-100.69930069930066,282300.0,0.6089266737513284,5713.T,DG,LV,DG_LV
2025-07-08,3527.0,187300.0,-33.907883582933174,272.1859937624038,274600.0,0.682083029861617,5713.T,DG,LV,DG_LV
2025-07-10,3582.0,319900.0,-30.615084887281043,-231.71412618648745,274600.0,1.1649672250546248,5713.T,DG,LV,DG_LV
