,pnl_bps
2026-02-10,67.24290021789048
2026-02-12,125.71769123425727
2026-02-13,8.63629498194141
2026-02-16,246.09242809309072
2026-02-17,-32.86865130784754
2026-02-19,135.35546426051945
2026-02-20,54.1746162303607
2026-02-24,140.82924690280697
2026-02-25,-197.03671003184107
2026-02-26,67.23933642709514
2026-02-27,196.03033006067383
2026-03-02,50.120203848177624
2026-03-03,221.81248511333783
2026-03-04,-224.7423754741855
2026-03-05,147.76633387457713
2026-03-06,638.7887376358283
2026-03-09,-35.59710800630245
2026-03-10,161.1210603892541
2026-03-11,61.19762819256547
2026-03-12,-5.979300668083047
2026-03-13,-5.09933314950039
2026-03-17,194.5923330217358
2026-03-18,-170.1553756792635
2026-03-19,-7.761968426758017
2026-03-23,105.2407008066112
2026-03-24,78.51295024793804
2026-03-25,-205.01375224523377
2026-03-26,-79.39348030883386
2026-03-27,-13.796472017248089
2026-03-30,179.0319356559089
2026-03-31,29.780858604496085
2026-04-01,-334.69655500382964
2026-04-02,483.80654245502575
2026-04-03,26.542541535091733
2026-04-06,46.792631835397955
2026-04-07,-1.053508348594292
2026-04-08,-161.005079094384
2026-04-09,0.3480574761380922
2026-04-10,-167.77683884377058
2026-04-13,60.65368207207867
2026-04-14,-172.7224329720689
2026-04-15,201.40847152708963
2026-04-17,251.48306670149537
2026-04-20,-9.061914689283174
2026-04-21,-35.71126268283664
2026-04-22,-60.64570293635984
