date,09:00寄成(元検証),09:05,09:10,09:20,09:30
2025-01-15,0.035593836948166514,,0.036837728452591416,0.010742860217439277,0.01028877875925009
2025-01-16,-0.027093542260974633,-0.044433798779412684,-0.04025928546012295,-0.038209280784968,-0.04608527113170319
2025-01-20,-0.07226568734439962,-0.08508760746641539,-0.014045913543918131,-0.033967502058082584,-0.01612656105130408
2025-01-21,0.05414208324223188,,0.002941206337215114,0.0076696572434151785,0.057918542083270824
2025-01-22,-0.01973722906105253,,0.004866187817233869,-0.005661719174632962,0.033051274177758876
2025-01-23,-0.008807453859019687,-0.12912300678045355,-0.07419366992471868,-0.07194055622523607,-0.06606619490953825
2025-01-27,-0.0756816199372287,-0.051691873220452045,-0.08597831077947621,-0.10454878709605683,-0.08936000503784138
2025-01-28,0.013034210808825178,,0.01854912381468847,0.01651619975095452,0.02055214200788474
2025-01-29,0.036510024596054035,0.04193584249867797,-0.01702587337083795,-0.030117387456665232,-0.03292241318841875
2025-01-30,0.05836357885099725,,-0.017011915732361976,0.05186497061252144,0.06121474791870741
2025-01-31,-0.04199684328903117,,,-0.04364335269297427,-0.047916848468956046
2025-02-03,0.0025825580130037886,-0.006691148675758196,-0.004841426318378937,-0.003288980084375156,-0.005104213138491339
2025-02-04,0.0509308752754827,0.04051950759338918,0.030623362670530115,0.0476678226005495,0.03473059938575771
2025-02-05,0.01575206179401525,,0.014132497151501023,-0.007338766477467945,0.01151708025486104
2025-02-06,0.010218298955178519,,0.02093884361758899,-0.016088578193536433,-0.010442238464532115
2025-02-07,0.005289977678637642,,0.01715431397070275,-0.01147252623482116,-0.021458485149438964
2025-02-10,-0.01971997527848335,,-0.0036636311414074865,-0.02226089532461406,-0.013976966736950546
2025-02-12,0.0096362445217261,0.03272150737389494,-0.0011345284451837272,0.016207119363821906,0.0012146602753342903
2025-02-13,0.017957062354091644,,-0.0003624817566324972,0.026543278400417012,0.036308300499694225
2025-02-14,0.04590072986599269,,-0.01737837018357685,0.004612728622760876,0.019177414769358584
2025-02-17,0.0018071791976214707,,0.06780183384671348,-0.0022632117224600655,0.014873670677481776
2025-02-18,0.04880781468093051,-0.005853569882762455,0.02117879722048595,0.024990848893786135,0.043114555660995195
2025-02-19,-0.022452976935978922,,0.084040438961,0.03258606451321928,0.021805014635055863
2025-02-20,-0.00330222754755376,-0.018508000183379995,-0.01557864344979803,-0.015338061976144741,-0.014307496150540876
2025-02-25,0.011288046461386599,0.008890376336764073,0.00507198701216482,0.0008722166822991961,-0.004418526922329687
2025-02-26,0.002181241899060405,,-0.003421411798772899,-0.006575702124335369,-0.015383740300142673
2025-02-27,0.023074935289905573,0.0443090274103455,-0.004329746838676584,0.008703283748082104,0.005976332186551752
2025-02-28,-0.006807206127675278,-0.034102603042298035,0.0016149360915341461,-0.00304101190136415,-0.012623859152749125
2025-03-03,-0.010766679000326329,,-0.001912239480999276,0.004429934502168601,0.012501201568599478
