,ped
2018-10-22,-0.001981564644505268
2018-10-23,-0.024137093647881303
2018-10-24,-0.007751332155590139
2018-10-25,-0.01748244903598983
2018-10-26,-0.013818870426172998
2018-10-29,-0.00992643541143128
2018-10-30,0.013957533961612123
2018-10-31,0.017586222363830513
2018-11-01,0.004050495963109607
2018-11-02,0.011306052697583191
2018-11-05,-0.005705951961834793
2018-11-06,0.0046419919601073684
2018-11-07,-0.002760521452288552
2018-11-08,0.01092875407520864
2018-11-09,-0.009284668470418866
2018-11-12,0.003178243897465951
2018-11-13,-0.026383622398303174
2018-11-15,-0.0016560433783058116
2018-11-16,0.012718825094767015
2018-11-29,-0.031456474506569264
2018-11-30,0.0028866665126676093
2018-12-03,-0.0008214497668503577
2018-12-04,-0.005997001499250421
2018-12-05,0.0015918530655825215
2018-12-06,-0.028396669069076046
2018-12-07,0.0066225165562914245
2018-12-10,-0.051608491616866155
2018-12-11,-0.01828674877795386
2018-12-12,0.04789509632204751
2018-12-13,0.006136091284963414
2018-12-14,0.008827012350363332
2018-12-17,0.005142831700801521
2018-12-20,-0.004789041095890422
2018-12-21,-0.024523066070687292
2018-12-25,-0.020959459671470393
2018-12-26,0.009677224766029573
2018-12-27,0.016264693840759143
2018-12-28,-0.04933920704845818
2019-01-04,-0.02775236181253189
2019-01-07,-0.0035964735144813848
2019-01-08,-0.004640832561438047
2019-01-09,0.0051261329763089775
2019-01-10,-0.01869731788732912
2019-01-11,0.026670073441473655
2019-01-18,0.023422047244094447
2019-01-21,0.0036711511503660695
2019-01-22,-0.02070473186119872
2019-01-23,0.0016024912701543606
2019-01-24,0.0065561029166240825
2019-01-25,0.00982279642672657
2019-01-28,-0.004257676332528563
2019-01-29,0.003542361814907048
2019-01-30,-0.005746740499967213
2019-01-31,0.007417520953224235
2019-02-01,-0.0028262805367981463
2019-02-04,0.008658423055379285
2019-02-05,-0.0012055884649206888
2019-02-06,-0.000558358675624056
2019-02-07,-0.012333914476579366
2019-02-08,-0.025371283023586395
2019-02-12,0.024547931313530988
2019-02-13,0.011904926885492292
2019-02-14,-0.006873582914482946
2019-02-26,-0.013629752066115742
2019-02-27,-0.015549084784285083
2019-02-28,-0.02114408119514972
2019-03-01,0.0057055706265032105
2019-03-04,0.004346432554990665
2019-03-05,0.003875968992248069
2019-03-06,-0.001091000891000915
2019-03-07,-0.021095522388059694
2019-03-08,-0.030627519083093573
2019-03-11,-0.001629019930679609
2019-03-12,0.025935724879287515
2019-03-13,-0.0038159032462606757
2019-03-14,0.001207455338639174
2019-03-15,0.01028218029350112
2019-03-26,0.004085805667498366
2019-03-27,0.005286624203821644
2019-03-28,-0.01476271938161311
2019-03-29,-0.002692738537040573
2019-04-01,0.009463480221837546
2019-04-02,-0.03111063652666843
2019-04-03,0.017913711032011875
2019-04-04,0.0016125924772122813
2019-04-05,-0.0005105309050530397
2019-04-08,-0.006306672264613034
2019-04-09,-0.004221225620322241
2019-04-10,0.01322679273649874
2019-04-11,-0.0033689210411047
2019-04-12,-0.009094536213468918
2019-04-17,-0.009448377857737826
2019-04-18,-0.007351997432902213
2019-04-19,0.005053567188488583
2019-04-22,0.0014778454757760667
2019-04-23,0.0015480555407218109
2019-04-24,-0.009883711889097431
2019-04-25,0.0050824341870867795
2019-04-26,-0.0006899841927673566
2019-05-07,-0.014847753215647897
2019-05-08,-0.015059502424960831
2019-05-09,-0.016895636830726424
2019-05-10,0.0007639325605095764
2019-05-13,-0.00821435541603344
2019-05-14,-0.004691556208234608
2019-05-15,0.0035176423472813015
2019-05-16,0.0006506688538968578
2019-05-17,0.008898848752866262
2019-05-28,-0.001574885426214445
2019-05-29,-0.010548540598744516
2019-05-30,-0.010714285714285676
2019-05-31,-0.001203369434416346
2019-06-03,-0.012248192771084377
2019-06-05,-0.0007787801810003265
2019-06-06,-0.007731393568147027
2019-06-10,-0.0002
2019-06-11,0.017467911084651008
2019-06-12,0.01237355374569773
2019-06-13,0.0008551282952219295
2019-06-14,0.01113786848072571
2019-07-02,0.008533336600799558
2019-07-03,0.004514946673365861
2019-07-04,0.006854924741485958
2019-07-05,0.004071661237784907
2019-07-08,-0.015119236960877018
2019-07-09,-0.003008303412052413
2019-07-10,-0.0025196671097287805
2019-07-11,0.009583916411088815
2019-07-12,-0.040759440559440606
2019-07-22,-0.0039340487531611896
2019-07-23,0.025441424451968488
2019-07-24,0.014833375976415743
2019-07-25,-0.017959121951005956
2019-07-26,-0.004190543061217877
2019-07-29,0.0017177797844886763
2019-07-30,0.00304301408065356
2019-07-31,0.0005249347535114315
2019-08-01,0.0037150479491601844
2019-08-02,-0.00461890533295829
2019-08-05,-0.020177945019116635
2019-08-06,0.011018910984038803
2019-08-07,-0.0009107417124717648
2019-08-08,-0.0005505445168660335
2019-08-09,0.0017184652278177638
2019-08-13,0.0002967343075590324
2019-08-26,0.015340015540015605
2019-08-27,0.011413711101687962
2019-08-28,0.00696090985678175
2019-08-29,-0.01568387096774195
2019-08-30,0.011595543905635641
2019-09-03,-0.004467804747932757
2019-09-04,6.788106080899431e-05
2019-09-06,-0.003729411764705892
2019-09-09,0.03305785123966931
2019-09-10,-0.062202590083908736
2019-09-11,0.013140062646503227
2019-09-19,0.013750805055855663
2019-09-20,-0.0002
2019-09-26,-0.008840098124270857
2019-09-27,-0.005745684688847158
2019-09-30,-0.013706283439094157
2019-10-01,-0.006208855154965187
2019-10-04,-0.0033796025559253247
2019-10-07,0.008888458406602438
2019-10-08,0.003984931193632645
2019-10-09,-0.00400304008401817
2019-10-10,-0.018744178550850688
2019-10-11,0.009175494974032562
2019-10-18,0.0048133333333333144
2019-10-21,0.011983712781774269
2019-10-23,-0.0019074715249583942
2019-10-24,-0.0010735760281616442
2019-10-25,-0.002404139330945864
2019-10-28,-0.0022249519927641254
2019-10-29,0.003501784476920722
2019-10-30,-0.0022316813468299273
2019-10-31,-0.003452051128837192
2019-11-01,0.003633973849823406
2019-11-05,0.009935005822928108
2019-11-06,-0.006002905256348686
2019-11-07,-0.00012823044703923965
2019-11-08,0.0003231413210437519
2019-11-11,-0.00476983876605822
2019-11-12,0.005055082574431251
2019-11-13,-0.008713536891814724
2019-11-14,0.025617555938037807
2019-11-15,0.007551260936306402
