price_mom20,obv_mom20,divergence,fwd_1,fwd_5,fwd_10,sym,p_sign,o_sign,quad
-0.032755298651252374,-19960000.0,0.07070024539449776,0.017928286852589626,0.007968127490039834,0.03984063745019917,6857.T,P-,O-,P-O-
-0.03947368421052633,-24374400.0,0.07320496164777676,-0.025440313111546042,-0.007827788649706457,0.015655577299412915,6857.T,P-,O-,P-O-
-0.06915887850467295,-46444400.0,0.10916894390769581,-0.013052208835341417,0.04417670682730934,0.030120481927710774,6857.T,P-,O-,P-O-
-0.11917562724014341,-69219600.0,0.05233647418380197,0.016276703967446515,0.04577822990844349,0.025432349949135347,6857.T,P-,O-,P-O-
-0.10962566844919786,-66104000.0,0.06779533202920843,0.013013013013013053,0.027027027027026973,0.02902902902902893,6857.T,P-,O-,P-O-
-0.08828828828828827,-54657200.0,0.08174772649215284,0.0019762845849802257,0.031620553359683834,0.005928853754940677,6857.T,P-,O-,P-O-
-0.06972477064220184,-39065200.0,0.07823181567040483,0.02564102564102555,0.023668639053254337,0.0019723865877712132,6857.T,P-,O-,P-O-
-0.017013232514177745,-22247600.0,0.12806382247972883,-0.011538461538461497,-0.013461538461538414,-0.02115384615384619,6857.T,P-,O-,P-O-
0.007843137254901933,-19520800.0,0.17194513715710724,-0.0019455252918287869,-0.01945525291828798,-0.005836575875486361,6857.T,P-,O-,P-O-
0.009842519685039353,-16026800.0,0.15447732963001676,0.01754385964912286,0.0019493177387914784,0.015594541910331383,6857.T,P-,O-,P-O-
0.01953125,-14924000.0,0.17392447026147206,-0.005747126436781658,-0.02490421455938696,0.051724137931034475,6857.T,P-,O-,P-O-
0.023668639053254337,-14330000.0,0.1809037784779568,-0.011560693641618491,-0.021194605009633882,0.05780346820809257,6857.T,P-,O-,P-O-
0.007858546168958647,-27756800.0,0.21485905993499288,-0.01754385964912286,-0.007797270955165692,0.06237816764132553,6857.T,P-,O-,P-O-
0.003984063745019917,-27612400.0,0.20189073225120832,0.01984126984126977,0.01388888888888884,0.10912698412698418,6857.T,P-,O-,P-O-
0.04365482233502549,-10786800.0,0.21081925923713674,-0.009727626459143934,0.013618677042801508,0.08754863813229563,6857.T,P+,O-,P+O-
0.0039447731755424265,-27788400.0,0.20338823599683428,-0.0019646365422396617,0.07858546168958735,0.0766208251473477,6857.T,P-,O-,P-O-
