combo,k,n,full_sharpe,full_t,mean_bp,h1_sharpe,h2_sharpe,h2_t
ディスコ+三井金属+三菱商事+三菱マテ+ホンダ,5,840,1.703313631234475,3.1098109944438597,13.359341751942031,1.4157720206927744,1.9517945136256876,2.519755882163764
ディスコ+三井金属+アドバン+日本郵船,4,702,1.7021187718360713,2.8409143928374374,15.896509038472907,1.8178382393422174,1.6134514671562714,1.9041852385683062
ディスコ+三井金属+三菱商事+三菱重工+トヨタ,5,802,1.7010097961507873,3.0345460225921745,13.961488030985752,1.5731294299579142,1.8185646089775243,2.294038229196044
ディスコ+三井金属+三菱商事+三菱マテ+トヨタ,5,855,1.7002424960222762,3.131797360494482,13.375790260124155,1.4263507163242586,1.9377809594950766,2.525377451049731
ディスコ+三井金属+三菱商事+トヨタ+ホンダ,5,790,1.7001044294499015,3.0101551047139865,13.221319958341336,1.0083418515913545,2.309379671696547,2.8913030613155235
ディスコ+三井金属+三菱商事+三菱電機,4,707,1.6989363173053862,2.8456831128540507,14.79849282078012,2.1863468108321222,1.2717035807161268,1.507256810007338
ディスコ+三井金属+三菱商事+三菱重工+日本郵船,5,809,1.6982613369042712,3.042835769354889,13.875555927246372,2.116772135367411,1.3124514644274,1.663835908928234
ディスコ+三井金属+三菱商事+三菱マテ+日本郵船,5,862,1.697872668042593,3.140208463227083,13.299897931204054,1.8390087282092291,1.591408606124955,2.0812299501494174
ディスコ+三井金属+三菱商事+日本郵船+ホンダ,5,797,1.6976061765655803,3.0190189358194317,13.14059486998921,1.5156551274111787,1.8630559616393594,2.344294009003549
ディスコ+三井金属+三菱商事+日本郵船+トヨタ,5,812,1.6943814985403007,3.041507871933016,13.161955310537245,1.5878869859801996,1.7928741227232576,2.275687087672522
三井金属+三菱商事+三菱重工,3,506,1.6910521260884677,2.396249210557912,14.611617711103793,2.233391466203133,1.3774156694299091,1.3801459311168187
三井金属+三菱商事+三菱マテ,3,559,1.6860046365258499,2.5111022556206497,13.654142814622718,1.7048024878925543,1.7901427145444644,1.8869761049057132
三井金属+三菱商事+ホンダ,3,494,1.682900470421035,2.356251455905921,13.443740745055882,1.4538746275266332,1.8888446578744251,1.870012236793048
