sym,name,or_min,dir,stop,n,sharpe,t,h1_sharpe,h2_sharpe,h2_t
8031.T,三井物産,60,long,none,147,0.5925804287718924,0.45259077836609746,0.4569283760170082,0.6979496521049553,0.37821581481205035
6920.T,レーザー,60,long,orrange,148,0.5796402315658316,0.444210795231962,-0.592530869967201,1.7432978779070085,0.9446853728835554
5713.T,住友鉱山,15,both,orrange,317,0.5420704125193113,0.6079740794549364,1.70760509030785,-0.09785929166160276,-0.07773209264909764
7267.T,ホンダ,30,both,orrange,267,0.5407313513154384,0.5565919370886109,-0.39085690016834335,1.407939182761497,1.0266821803782755
6857.T,アドバン,30,long,orrange,194,0.5101339023902187,0.44759454123871534,0.13597935289894744,0.8850878587164505,0.5491259657284868
6857.T,アドバン,30,long,none,194,0.4976959587369981,0.43668141498435054,0.1668753708868784,0.8092097432383628,0.5020496862052457
5713.T,住友鉱山,15,long,orrange,197,0.49689377229893383,0.439335600141582,0.851353687981254,0.3292788653637244,0.20638645122054047
5020.T,ENEOS,15,long,none,192,0.4908310595139385,0.42843247307771387,2.264875807739667,-0.7281872115256806,-0.44944690455186764
5713.T,住友鉱山,15,long,none,197,0.48763152836347073,0.4311462572178065,0.7251054323048872,0.3997469794980398,0.2505546792187763
7267.T,ホンダ,30,long,orrange,145,0.4869258410128536,0.36935718680320534,0.9414405069012993,-0.06621879429379364,-0.03564038842769702
8031.T,三井物産,60,long,orrange,147,0.48450913188008304,0.37004996195630374,0.8070933746910353,0.31503746448770653,0.1707174019905129
5020.T,ENEOS,15,both,none,284,0.4443945211701688,0.47176703999592445,0.3204170609922432,0.5430340217891118,0.40763450761148107
7203.T,トヨタ,15,short,orrange,191,0.4311154240942908,0.3753271440662198,-0.501857720020593,1.3221965624463492,0.8160774355753356
8031.T,三井物産,30,long,none,171,0.4302687509239598,0.35443580732581315,0.006295235838205589,0.7340439685624682,0.42881604775802423
6857.T,アドバン,15,both,orrange,323,0.42272537949455513,0.47858525434067767,0.20542607273628083,0.6393932104320078,0.5126550704712914
5713.T,住友鉱山,30,short,orrange,194,0.4075436746064772,0.3575812609503682,1.2991315361127427,-0.0899560901818394,-0.055810532714681
7011.T,三菱重工,30,long,orrange,175,0.4015498585986945,0.33462488216557873,1.9324498576433606,-1.7082110901493652,-1.0094448641531375
6857.T,アドバン,60,long,orrange,171,0.40123761371675454,0.33052127825177235,0.27086626185235346,0.5285868796837456,0.308791497989729
5711.T,三菱マテ,30,both,none,333,0.3999593395927144,0.459766886317531,-0.8327518290081558,1.0855776117605969,0.8837284638336503
6920.T,レーザー,60,long,none,148,0.39938213980027526,0.3060689169950652,-1.1019163187763996,2.0233061165597803,1.0964205930627609
7011.T,三菱重工,60,both,orrange,292,0.3976329618631852,0.42802933407646804,1.0320556266594985,-0.2819618580290487,-0.2146181867205462
5711.T,三菱マテ,60,long,none,178,0.3968829812531283,0.3335586497052871,0.3225869365980295,0.45883616454221904,0.2726794276351671
9101.T,日本郵船,60,short,orrange,133,0.39666830582803014,0.2881728432016449,-1.0765986384322144,2.049815031009901,1.056943578164661
7011.T,三菱重工,60,short,orrange,169,0.3823962883729863,0.31315312516709054,0.8160869537499933,-0.03137606757351007,-0.01822248930951141
5711.T,三菱マテ,15,both,orrange,336,0.3725999161646895,0.430241323795431,-0.16631552317110687,0.6894780115285288,0.562956439037891
6503.T,三菱電機,15,long,none,195,0.3638088135776001,0.32002967560294426,1.8415037192683665,-1.0543074952831575,-0.6574762379428931
5706.T,三井金属,30,both,orrange,329,0.3484342538094782,0.39812414917770894,-0.7868363179432668,0.8322849203448484,0.6734629799883185
9101.T,日本郵船,60,short,none,133,0.33380000971380014,0.242500084949225,-1.5445278353663667,2.60213036994278,1.3417332502939237
9101.T,日本郵船,60,both,orrange,252,0.32480416267558365,0.32480416267558365,-0.3833793719601938,1.200044815822697,0.8485598269959905
8058.T,三菱商事,15,long,none,188,0.3151000945409682,0.2721618119955209,0.23768318301535185,0.3773550757700155,0.23046970845344353
6503.T,三菱電機,60,long,none,153,0.31473812244520466,0.24524196923255018,0.6536301541391984,-0.09000290566596644,-0.04975097802262713
5711.T,三菱マテ,60,both,orrange,308,0.2923930790569131,0.32325271150950147,-1.29821942828326,1.1340427284686108,0.8865219809870558
6857.T,アドバン,15,both,none,323,0.285167076902488,0.3228496907191793,0.06542531517789317,0.4994090753875903,0.4004180691312688
6503.T,三菱電機,30,long,none,179,0.25571380392075527,0.21551644657250585,1.1386222558628105,-0.645021407855198,-0.38547402015084054
7011.T,三菱重工,30,short,none,199,0.25321207265195106,0.22501458853589676,-0.2474488737269371,0.8520954221401469,0.5367696619712927
6146.T,ディスコ,30,short,none,187,0.249663769997603,0.21506812906575543,-0.06625579414020423,0.5766078262145676,0.352163376439217
6503.T,三菱電機,60,long,orrange,153,0.24547810443979182,0.1912749979842977,0.44660056819708205,0.0014235799759927384,0.0007869134399051768
5713.T,住友鉱山,60,long,orrange,161,0.22392775220379033,0.17898662882724947,0.3181258710490034,0.17754689214791491,0.10065962628766913
6920.T,レーザー,15,long,orrange,202,0.1908122894370915,0.17083692934246972,-0.522666958927255,0.8820722745579896,0.5584246593821668
6503.T,三菱電機,30,both,none,327,0.16234619005283737,0.18493355020530658,1.552894451348348,-1.2127466054816458,-0.9783443050686588
6857.T,アドバン,60,long,none,171,0.1484785357630492,0.12230985768945937,0.09729382175379002,0.19486885951818,0.11383908559775636
5713.T,住友鉱山,15,short,none,202,0.14646123371737307,0.1311288047001549,1.7200233363785882,-0.721766988193784,-0.4569381627343153
5711.T,三菱マテ,60,both,none,308,0.14221333223428234,0.15722275440242317,-1.592023296996734,1.0848691684422245,0.8480812408346581
8031.T,三井物産,15,long,orrange,185,0.13422498809044475,0.11500559465614496,-0.7575629977776768,0.7937780626902998,0.4822145343183355
7203.T,トヨタ,60,both,orrange,254,0.12959367016669054,0.13010691443333228,-2.67930965576963,2.6111037464546634,1.8536413888305632
9101.T,日本郵船,60,long,none,140,0.12674321171026787,0.09446881235693544,1.531510774830681,-1.1407220603764059,-0.6012133146649256
5713.T,住友鉱山,15,both,none,317,0.12634925106597927,0.14171050076252367,1.4119404367822634,-0.5450464642410598,-0.43294409286096447
7267.T,ホンダ,60,long,none,120,0.11882683000756153,0.08199830291404678,0.08109643684567754,0.17485252180935462,0.08531929439449207
7011.T,三菱重工,15,short,none,221,0.11616281575532098,0.10878349234102401,-0.39861795652201204,0.7865434701534592,0.5220161615624226
5706.T,三井金属,30,both,none,329,0.10258594034614989,0.11721562897842491,-1.2652567735954283,0.6734279807631386,0.5449201393007872
7203.T,トヨタ,30,short,none,172,0.09995705842391742,0.08258048327567599,-0.6994796680851773,0.6661106184453622,0.38913053577809653
5711.T,三菱マテ,60,short,orrange,161,0.09353235523477758,0.0747609029474383,-3.072666243452192,1.5463133213924036,0.8766772494408416
7267.T,ホンダ,30,short,none,160,0.09181232577387129,0.07315781230297365,-2.787154235939382,2.154967861151904,1.2141868377704954
6503.T,三菱電機,60,both,orrange,297,0.086136129010065,0.09351112993108521,1.3148294215463852,-1.098390538276243,-0.8445972187681877
6920.T,レーザー,30,both,orrange,321,0.06290568195683346,0.07099734703314861,0.6042332550082395,-0.3879729351232368,-0.3101088054093632
5713.T,住友鉱山,30,long,none,182,0.04659905553349898,0.039601582246717525,0.00856745912610172,0.06887217015332268,0.041387023490047574
6503.T,三菱電機,60,both,none,297,0.04342010036680577,0.047137742242244186,1.407604953703003,-1.239217193246483,-0.9528845691881512
7011.T,三菱重工,15,short,orrange,221,0.022302506954564042,0.020885724736457414,-0.4845759914187749,0.5558378325613764,0.3689005666123642
5711.T,三菱マテ,60,short,none,161,0.020790229816093204,0.016617739921489297,-3.1513480491673023,1.5287775175061833,0.8667353831288689
7011.T,三菱重工,60,short,none,169,0.01758655144963227,0.014402031909871498,-0.042199521415056736,0.08635031701795604,0.050150253056603616
5020.T,ENEOS,15,long,orrange,192,0.009154252821880553,0.007990486949910613,0.09890330902525445,-0.06406035420544794,-0.03953890901463519
6920.T,レーザー,30,both,none,321,0.002132769045276801,0.0024071107623152505,0.5133169261245305,-0.4054547782429249,-0.32408213446253126
5706.T,三井金属,15,both,orrange,330,-0.013277120815916438,-0.015193597134996644,0.5506059010254195,-0.24659622880439053,-0.19953915665764474
6503.T,三菱電機,30,both,orrange,327,-0.017522395425239274,-0.019960300842514826,1.7944259146537076,-1.7629487119868419,-1.4222021522917032
5713.T,住友鉱山,60,both,none,293,-0.01843134739660845,-0.019874244329086212,0.7999879697717467,-0.4781237474879648,-0.3651730440699251
