label,n,mean_bps,se,t,wr,slot,sector,cond
後場前半|半導体|LME+1%,304,1.1622270403384292,5.778614463714242,0.2011255548603255,42.43421052631579,後場前半,半導体,LME+1%
後場前半|半導体|LME-1%,297,-7.4704372978390365,5.243802066837848,-1.4246222879163533,42.76094276094276,後場前半,半導体,LME-1%
後場前半|半導体|月,296,-3.2674451408165335,5.351938916019377,-0.6105161497707765,49.66216216216216,後場前半,半導体,曜日_月
後場前半|半導体|火,328,-10.396282003920458,5.172212386833243,-2.010026121585027,39.63414634146341,後場前半,半導体,曜日_火
後場前半|半導体|水,336,2.1533954691615342,4.533017654983942,0.475046786282407,44.047619047619044,後場前半,半導体,曜日_水
後場前半|半導体|木,345,-7.562299616021347,5.151619334565084,-1.4679461204133748,45.21739130434783,後場前半,半導体,曜日_木
後場前半|半導体|金,346,-2.6883903580785873,4.9038932979917655,-0.5482155085184118,45.3757225433526,後場前半,半導体,曜日_金
後場前半|ALL|全日,5441,-2.9005537485926025,1.23864442640878,-2.341716223599553,47.233964344789555,後場前半,ALL,全日
後場前半|ALL|LME+1%,1008,-2.098545989756001,2.9382475554149896,-0.7142168759363124,45.535714285714285,後場前半,ALL,LME+1%
後場前半|ALL|LME-1%,996,-1.4542909775590849,2.633236403281044,-0.5522827254503322,46.4859437751004,後場前半,ALL,LME-1%
後場前半|ALL|月,970,-0.6149549408893598,2.992687729891943,-0.20548583627586295,51.03092783505154,後場前半,ALL,曜日_月
後場前半|ALL|火,1091,-12.81453594947981,2.7904393907103815,-4.592300406932517,43.26306141154904,後場前半,ALL,曜日_火
後場前半|ALL|水,1108,1.933525138706175,2.6294938539736945,0.7353221745638345,47.65342960288809,後場前半,ALL,曜日_水
後場前半|ALL|木,1132,-4.096196982334062,2.877813618257396,-1.423371185801266,46.908127208480565,後場前半,ALL,曜日_木
後場前半|ALL|金,1140,1.131404559446069,2.5573503847092742,0.4424128059302636,47.719298245614034,後場前半,ALL,曜日_金
後場後半|非鉄|全日,3790,1.4823389790417902,1.2880581949946193,1.1508323030761685,50.79155672823219,後場後半,非鉄,全日
後場後半|非鉄|LME+1%,704,-3.179723666721605,3.5164533727110068,-0.9042416690058938,45.3125,後場後半,非鉄,LME+1%
後場後半|非鉄|LME-1%,699,-6.149662902653354,3.481181357410881,-1.7665448223666085,45.35050071530758,後場後半,非鉄,LME-1%
後場後半|非鉄|月,674,-4.961945319200276,3.8317474203206303,-1.2949562627447593,50.59347181008902,後場後半,非鉄,曜日_月
後場後半|非鉄|火,763,6.464720972283846,2.7765191740087003,2.328354521301638,51.24508519003932,後場後半,非鉄,曜日_火
後場後半|非鉄|水,772,-1.0083939271175952,2.3006646648349607,-0.4383054786430307,46.63212435233161,後場後半,非鉄,曜日_水
