sym,name,sector,pattern,condition,gross_n,gross_mean,gross_med,gross_std,gross_wr,gross_sharpe,net_mean,net_wr,net_sharpe
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅安(<-0.5%)_金曜,33,0.3837125854987895,0.41876046901172526,0.9633752780280858,60.60606060606061,6.322819980807994,0.3437125854987896,60.60606060606061,5.663699564146245
6857.T,アドバンテスト,半導体,昼間ギャップ→後場,昼GU(>+0.2%),73,0.40235201231940704,0.41876046901172526,1.1326607620016822,63.013698630136986,5.639058400269541,0.362352012319407,61.64383561643836,5.078448961011364
6857.T,アドバンテスト,半導体,昼間ギャップ→後場,昼フラット,211,0.03612607490244989,0.10764262648008671,1.3132984850658977,51.18483412322274,0.43667427225568645,-0.0038739250975501874,51.18483412322274,-0.04682610627680032
6857.T,アドバンテスト,半導体,昼間ギャップ→後場,昼GD(<-0.2%),68,-0.17148506524889728,-0.06453521949114083,1.1993314427224222,47.05882352941176,-2.269798756449052,-0.21148506524889732,45.588235294117645,-2.7992439890480814
6857.T,アドバンテスト,半導体,後場寄直後→引け,後場寄後上昇(>+0.1%),157,0.7989687948174992,0.7117437722419906,0.9552448523126273,78.343949044586,13.277471621671367,0.758968794817499,77.70700636942675,12.612741198766466
6857.T,アドバンテスト,半導体,後場寄直後→引け,後場寄後フラット,36,-0.21050413181783498,-0.15542708006532346,0.9301852729744207,44.44444444444444,-3.5924558187895483,-0.25050413181783493,44.44444444444444,-4.275094356620885
6857.T,アドバンテスト,半導体,後場寄直後→引け,後場寄後下落(<-0.1%),159,-0.5819285394597276,-0.5185646131507959,1.2270775725551444,29.559748427672954,-7.5283171854350845,-0.6219285394597276,28.930817610062892,-8.045790838981926
6857.T,アドバンテスト,半導体,引け前30分_曜日別,月曜,34,-0.03170565786875472,0.04321521175453813,0.48144052059576,50.0,-1.0454286536241577,-0.07170565786875473,50.0,-2.3643461262742447
6857.T,アドバンテスト,半導体,引け前30分_曜日別,火曜,41,0.07762765185507552,0.03645643456069436,0.44842270463763095,51.21951219512195,2.748078447585317,0.03762765185507551,48.78048780487805,1.3320477513505495
6857.T,アドバンテスト,半導体,引け前30分_曜日別,水曜,40,0.2145149406303867,0.24550680164328043,0.4940076532915532,62.5,6.893251733662881,0.1745149406303867,62.5,5.607886394837352
