code,last_date,adv,ret12m,ret3m,n_days
75770,2021-03-29,10627300.0,-0.0393013100436681,-0.0393013100436681,58
75870,2021-08-30,16734900.0,0.4273684210526316,0.002958579881656709,161
75940,2021-09-28,22028200.0,0.6120644825793031,0.24,180
75970,2022-03-28,573000.0,,0.0007827788649705791,301
76180,2023-10-26,44911500.0,0.6517241379310346,0.0,691
76710,2023-10-26,1588100.0,1.104212860310421,1.0063424947145876,691
76720,2021-09-29,,,,181
76880,2021-09-28,2805650.0,0.2527287993282956,0.264406779661017,180
77480,2022-03-29,91797500.0,-0.34282700421940926,-0.28555045871559637,302
77580,2022-03-15,816700.0,2.042114695340502,0.002954209748892156,293
77680,2021-03-29,6578000.0,0.17014925373134338,0.17014925373134338,58
78380,2022-09-28,17501600.0,-0.30107526881720426,-0.15032679738562094,425
78550,2022-01-12,1238600.0,0.8661417322834646,-0.004201680672268893,251
78620,2022-02-24,110877550.0,0.5210991167811581,0.002587322121604174,280
78690,2021-04-23,1697000.0,,,77
78950,2023-03-15,3091500.0,0.3594771241830066,-0.0023980815347721673,538
78990,2024-01-29,2561600.0,0.49844236760124616,0.10574712643678152,752
79050,2023-12-20,99981800.0,0.4049741905208821,-0.016748768472906406,728
79450,2022-07-27,2040300.0,0.8218940052128585,0.7862010221465077,383
79590,2021-09-13,20531900.0,0.6384180790960452,0.39629629629629637,171
79610,2023-05-29,2662000.0,0.39651957737725296,0.0,587
80680,2024-03-27,389885500.0,0.6350515463917525,0.14265129682997113,791
80870,2021-09-28,34086500.0,0.8514774494556765,0.23752598752598764,180
80900,2021-07-20,23220800.0,0.314569536423841,0.002525252525252597,135
80960,2023-05-01,81190750.0,0.6183006535947713,0.0016181229773462036,570
81080,2021-09-28,18747900.0,0.15591397849462374,0.10634648370497435,180
81400,2024-03-27,129998200.0,0.49090909090909096,0.08013172338090002,791
81680,2023-12-29,77541400.0,0.41240478781284007,0.5809987819732034,735
81840,2021-03-23,244631000.0,0.0,0.0,54
81860,2021-08-27,119742400.0,0.5,-0.07692307692307687,160
82490,2023-04-26,3323500.0,0.47217391304347833,0.4167364016736401,567
82560,2024-01-05,69835100.0,-0.9857142857142858,-0.96,737
82570,2021-03-24,1350000.0,0.7025974025974027,0.7025974025974027,55
82870,2022-02-24,11287450.0,0.34898989898989896,0.4306373861810391,280
82980,2021-07-28,2991600.0,0.7576470588235293,0.39626168224299074,139
83420,2022-03-29,60693850.0,-0.2770628311884936,0.07122826696578799,302
83500,2022-03-29,31519250.0,-0.23202054794520544,0.08991494532199273,302
83550,2022-09-28,1446265200.0,-0.06715634837355722,0.09482758620689657,425
83560,2021-09-28,181958750.0,0.21052631578947367,0.10281759762728626,180
83630,2021-09-28,162510800.0,-0.1467748165314794,-0.026872246696035273,180
83690,2023-09-27,1093385000.0,0.613472485768501,0.20098870056497176,671
83820,2022-09-28,233804900.0,0.013318534961154205,-0.06646216768916158,425
83850,2022-09-28,318034900.0,0.1902356902356903,0.08103975535168195,425
83970,2021-09-28,88178850.0,0.05369127516778516,0.09450038729666921,180
85210,2023-05-29,17235100.0,0.22948207171314738,0.0006485084306095956,587
85270,2022-09-28,111783500.0,0.5066666666666666,0.0660377358490567,425
85300,2022-09-28,50295700.0,0.30535966149506355,0.10113027959547893,425
85860,2021-03-29,639761350.0,0.3036502206177296,0.3036502206177296,58
87400,2022-02-16,1570600.0,-0.155893536121673,-0.0826446280991735,275
88060,2022-04-25,239762900.0,0.6491754122938531,0.001365498406918464,321
88420,2024-04-01,23752000.0,0.6207729468599035,-0.01178203240058906,794
88540,2024-03-06,561200.0,,-0.0017667844522968323,777
88930,2024-03-27,29898900.0,0.3188118811881189,0.05714285714285716,791
89030,2024-03-27,3173350.0,0.721835883171071,-0.008807045636509248,791
89090,2022-12-21,111177650.0,0.6487603305785123,-0.0006261740763932044,482
89220,2022-03-22,13511100.0,0.4173913043478261,0.46846846846846857,297
89250,2024-04-22,36629800.0,-0.8668407310704961,-0.8344155844155844,809
90140,2022-08-29,10251800.0,0.39972144846796653,0.05052264808362361,405
90620,2021-12-28,2088876000.0,-0.004322766570605152,-0.14796547472256472,243
90860,2023-02-22,1072041000.0,0.53713298791019,0.0,524
91760,2022-05-02,2837600.0,-0.8009049773755657,-0.7924528301886793,325
91790,2022-05-27,11991950.0,1.3218997361477571,0.5042735042735043,341
92610,2021-12-08,,,,229
92630,2024-01-26,32053700.0,0.06989247311827951,0.0,751
92660,2021-09-28,7218650.0,0.0564663023679417,-0.013605442176870763,180
92760,2022-09-28,,,,425
92810,2023-01-31,55053900.0,0.1655933762649493,0.0,508
92830,2022-08-19,34304500.0,0.06703910614525133,0.002624671916010568,399
93180,2023-04-28,52568800.0,-0.8333333333333334,-0.5,569
93580,2022-02-25,10123800.0,0.5415778251599148,0.3388888888888888,281
93750,2022-08-25,562069700.0,0.5759637188208617,0.0012004801920768582,403
94220,2023-03-16,53542100.0,0.3474277660324172,0.5762572135201978,539
94650,2024-02-22,2040000.0,,,769
96240,2021-09-28,46928200.0,0.498696219035202,0.18505154639175259,180
96310,2022-12-28,6281750.0,0.17988394584139256,0.04991394148020656,487
