,eneos_vwap_trend,vwap_morning_meanrevert,lasertec_ma25_support,bank_absorption,closing_auction
2025-06-27,0.0,0.0,0.0,0.0024771912144855,0.005524861878453136
2025-06-30,0.0,0.0,0.0,0.0,-0.0010556575900342868
2025-07-01,0.0,0.0,0.0,0.0003048675583529,-0.004868549172346693
2025-07-02,0.0,0.0,0.0,0.0003048675583529,0.0022820014367615927
2025-07-03,0.0,0.0,0.0,0.0003048675583529,0.009921139659119891
2025-07-04,0.0,0.0,0.0,0.0003048675583529,-0.0006573131192331531
2025-07-07,0.0,0.0,0.0,0.0003048675583529,-0.012449528936742893
2025-07-08,0.0,0.0,0.0,0.0,0.006715710588259761
2025-07-09,0.0024436018957347,0.0,0.0,0.0,0.0
2025-07-10,0.0,0.0,0.0,0.0,0.01131314226358171
2025-07-11,0.0,0.0,0.0,-0.0035142521464076,-0.005689967277431263
2025-07-14,0.0,0.0,0.0,-0.0035142521464076,-0.004720341396623288
2025-07-15,0.0,-0.0150994295743747,0.0,-0.0035142521464076,0.0
2025-07-16,0.0,0.0,0.0,-0.0035142521464076,-0.014925373134328401
2025-07-17,0.0017771669614913,0.0,0.0,-0.0035142521464076,0.008770019550827788
2025-07-18,0.0,0.0080745762711864,-0.0100399999999999,0.0,0.0048853814355505065
2025-07-22,0.0,0.0,-0.0100399999999999,0.0,-0.007197203372403815
2025-07-23,0.0,0.0,-0.0100399999999999,0.0,0.016440890608639125
2025-07-24,0.0,0.0,-0.0100399999999999,0.0010606645478886,-0.005506262341365725
2025-07-25,0.0,0.0,-0.0100399999999999,0.0004457664058653,0.004662004662004726
2025-07-28,0.0,0.0,-0.0100399999999999,0.0004457664058653,-0.003078611181251412
2025-07-29,0.0,0.0,-0.0100399999999999,0.0008555815568353,0.003396982142513493
2025-07-30,0.0,0.0,-0.0100399999999999,0.0005416542972394,0.0010741138560688146
2025-07-31,0.0,0.0,-0.0100399999999999,0.0002407058772856,0.0008438741718876097
2025-08-01,0.0,0.0,-0.0100399999999999,0.000513978193534,0.0
2025-08-04,-0.0001425666108894,0.0,0.0,0.000513978193534,-0.0001337155386951231
2025-08-05,0.0,0.0,0.0,-0.0009888588350087,-0.003723500219801834
2025-08-06,0.0,0.0,0.0,0.0073459029237029,-0.0032735747804820137
2025-08-07,0.0009536795471327,0.0,0.0,0.0146997597378958,0.006892590465249926
2025-08-08,0.0,0.0,0.0,0.0146997597378958,-0.0009010867906488557
2025-08-12,0.0,0.0,0.0,0.0152614286315319,-0.004267471783395371
2025-08-13,0.0049782717820007,0.0,0.0,0.0122632023159467,-0.012698980504382009
2025-08-14,0.0,0.0,0.0,0.010059207665372,-0.0006026655439432261
2025-08-15,0.0096338350250845,0.0,0.0,0.010059207665372,0.0036326132755766976
2025-08-18,0.0,0.0,0.0,0.010059207665372,0.005528255528255532
2025-08-19,0.0,0.0,0.0,0.0068255413069488,-0.0070417121435202845
2025-08-20,-0.004633409610984,0.0,0.0,0.0037921430342573,-0.00036529680365299244
2025-08-21,0.0,0.0,0.0,0.0029187836438923,-0.002321051666505008
2025-08-22,0.0,0.0,0.0,0.0029187836438923,0.0
2025-08-25,0.0,0.0,0.0,0.0029187836438923,-0.006368074718743344
2025-08-26,-0.0024913210177762,0.0,0.0,0.0029187836438923,-0.003593714208491017
2025-08-27,0.0103728337236534,0.0,0.0,-0.0019246402951424,-0.0003816168096938132
2025-08-28,0.0,0.0,0.0,-0.0019246402951424,-0.003276248140385222
2025-08-29,0.0,0.0,0.0,-0.0019246402951424,-0.0054679981845345066
2025-09-01,0.0,0.0,0.0,-0.0019246402951424,0.0
2025-09-02,-0.0061325542939037,0.0,0.0,-0.0019246402951424,0.0
2025-09-03,0.0,0.0,0.0,0.0,0.004934210526315708
2025-09-04,0.0,0.0,0.0,0.0058906114678249,0.007373639883722307
2025-09-05,0.0,0.0,0.0,0.0058906114678249,0.00895143017198848
2025-09-08,0.0,0.0,0.0,0.0058906114678249,0.008883248730964466
2025-09-09,0.0,0.0,0.0,0.0058906114678249,0.00324188077759227
2025-09-10,0.0,0.0,0.0,0.0035606758204579,0.012410189418680552
2025-09-11,0.0,0.0,0.0,-0.0034291311216429,0.010958952741307204
2025-09-12,0.0,0.0,0.0,-0.0034291311216429,0.015980629539951607
2025-09-16,0.0164416447944006,0.0,0.0,-0.0034291311216429,0.0
2025-09-17,0.0,0.0,0.0,-0.0034291311216429,0.0049455098021240484
2025-09-18,0.0,0.0,0.0,0.0,0.0
2025-09-19,0.0,0.0114465104300797,0.0,0.0,0.0019953680715902866
2025-09-22,0.0,-0.001817434443657,0.0,0.0052645763077758,-0.0011645776861354633
2025-09-24,0.0,0.0113536436295251,0.0,0.0052645763077758,0.0005272559248448157
2025-09-25,0.0,0.0,0.0,0.0052645763077758,-0.0015400396071156284
2025-09-26,0.0,0.0,0.0,0.0052645763077758,-0.002666147449548097
2025-09-29,0.0,0.0,0.0,0.002816809350366,0.0
2025-09-30,-0.0067169164882226,0.0,0.0,-0.0046086410501986,-0.003271557416055382
2025-10-01,0.0,0.0,0.0,-0.003453564165783,0.013903353478717701
2025-10-02,0.0,0.0,0.0,-0.0014889603588075,-0.008164671693143702
2025-10-03,0.0,0.0,0.0,-0.0014889603588075,0.004319608383430188
2025-10-06,-0.0021219113215667,0.0054536585365853,0.0,-0.0008794827898669,0.0039119604745242
2025-10-07,0.0,0.0,0.0,-0.0046756005704574,0.0018339291228510472
2025-10-08,0.0,0.0,0.0,-0.0055339181737393,0.019242333132892364
2025-10-09,0.0,0.0,0.0,-0.0081791121832579,-0.006913296223737652
2025-10-10,0.0189405199746354,0.0,0.0,-0.0081791121832579,-0.004994951012263419
