date,code,side,entry,exit,or_high,or_low,pnl,entry_ts
2025-10-28,58020,1,4826.0,4758.0,4826.0,4772.0,-0.015790555322074056,2025-10-28 09:16:00
2025-10-29,58020,-1,4825.0,4994.0,4914.0,4825.0,-0.03602645706663216,2025-10-29 09:21:00
2025-10-30,58020,1,5148.0,5299.0,5148.0,4989.0,0.027309833776744796,2025-10-30 09:16:00
2025-10-31,58020,1,5369.0,5650.0,5369.0,5222.0,0.049413873717917216,2025-10-31 09:41:00
2025-11-05,58020,-1,5897.0,5902.0,6031.0,5897.0,-0.0024475295023806565,2025-11-05 09:19:00
2025-11-06,58020,-1,6052.0,6207.0,6210.0,6052.0,-0.02688889150540623,2025-11-06 11:00:00
2025-11-07,58020,-1,5954.0,5855.0,6073.0,5954.0,0.015167265543904011,2025-11-07 09:16:00
2025-11-10,58020,1,5899.0,6030.0,5899.0,5766.0,0.02036416571815595,2025-11-10 09:18:00
2025-11-11,58020,1,6169.0,5860.0,6169.0,6073.0,-0.052987146638580354,2025-11-11 09:20:00
2025-11-12,58020,1,5891.0,5955.0,5891.0,5760.0,0.00920544026771324,2025-11-12 09:32:00
2025-11-13,58020,1,6262.0,6375.0,6262.0,6095.0,0.016284468140275832,2025-11-13 09:23:00
2025-11-17,58020,1,6355.0,6533.0,6355.0,6248.0,0.026024351217195978,2025-11-17 09:18:00
2025-11-19,58020,1,6050.0,5942.0,6050.0,5813.0,-0.01961249500233419,2025-11-19 09:40:00
2025-11-26,58020,1,6126.0,6051.0,6126.0,5919.0,-0.013918460770399117,2025-11-26 09:17:00
2025-11-27,58020,1,6189.0,6089.0,6189.0,6080.0,-0.01788965813078745,2025-11-27 09:16:00
2025-11-28,58020,-1,6111.0,6141.0,6262.0,6111.0,-0.006497169434483693,2025-11-28 09:21:00
2025-12-01,58020,-1,6143.0,6330.0,6217.0,6143.0,-0.03158701397429437,2025-12-01 09:19:00
2025-12-03,58020,1,6726.0,6839.0,6726.0,6590.0,0.015060908797881172,2025-12-03 09:19:00
2025-12-04,58020,-1,6638.0,6720.0,6740.0,6638.0,-0.013877441237275346,2025-12-04 09:19:00
2025-12-05,58020,1,6589.0,6675.0,6589.0,6462.0,0.011367612354630354,2025-12-05 09:55:00
2025-12-08,58020,1,6803.0,6941.0,6803.0,6690.0,0.0184821649945229,2025-12-08 09:23:00
2025-12-09,58020,-1,6997.0,7109.0,7099.0,6997.0,-0.017480101183586352,2025-12-09 09:16:00
2025-12-10,58020,-1,7016.0,6936.0,7215.0,7016.0,0.009868015591641181,2025-12-10 09:16:00
2025-12-11,58020,-1,6870.0,6671.0,6989.0,6870.0,0.02779433250687959,2025-12-11 09:31:00
2025-12-12,58020,1,6743.0,6659.0,6743.0,6624.0,-0.014135606623959619,2025-12-12 09:35:00
2025-12-15,58020,1,6598.0,6632.0,6598.0,6480.0,0.0035398450266040833,2025-12-15 09:30:00
2025-12-17,58020,-1,6136.0,6321.0,6314.0,6136.0,-0.03130435942520659,2025-12-17 09:38:00
2025-12-19,58020,1,6267.0,6303.0,6267.0,6172.0,0.0041279392884345616,2025-12-19 12:30:00
2025-12-23,58020,-1,6588.0,6608.0,6671.0,6588.0,-0.00463122390328308,2025-12-23 09:16:00
2025-12-24,58020,-1,6525.0,6502.0,6581.0,6525.0,0.001931131327043543,2025-12-24 09:16:00
2025-12-25,58020,-1,6490.0,6540.0,6563.0,6490.0,-0.009274634753108666,2025-12-25 11:10:00
2025-12-26,58020,-1,6495.0,6255.0,6574.0,6495.0,0.03605150620368844,2025-12-26 09:16:00
2025-12-29,58020,1,6460.0,6336.0,6460.0,6300.0,-0.020981663282385706,2025-12-29 09:17:00
2025-12-30,58020,-1,6270.0,6325.0,6327.0,6270.0,-0.010333679968754632,2025-12-30 09:17:00
2026-01-06,58020,-1,6528.0,6527.0,6651.0,6528.0,-0.001446801991274513,2026-01-06 09:26:00
2026-01-07,58020,1,6657.0,6647.0,6657.0,6535.0,-0.003103307559121718,2026-01-07 09:28:00
2026-01-08,58020,-1,6562.0,6356.0,6632.0,6562.0,0.03029618586444031,2026-01-08 09:16:00
2026-01-09,58020,-1,6141.0,6304.0,6350.0,6141.0,-0.027796757208315877,2026-01-09 09:28:00
2026-01-14,58020,-1,6384.0,6479.0,6579.0,6384.0,-0.016371317320312502,2026-01-14 09:16:00
2026-01-15,58020,1,6739.0,6716.0,6739.0,6548.0,-0.005018806748785609,2026-01-15 13:01:00
2026-01-16,58020,1,6804.0,6828.0,6804.0,6693.0,0.0019211303985789605,2026-01-16 10:10:00
2026-01-19,58020,1,6711.0,6750.0,6711.0,6601.0,0.004194533708336312,2026-01-19 11:02:00
2026-01-20,58020,-1,6717.0,6597.0,6810.0,6717.0,0.01642662604399367,2026-01-20 09:17:00
2026-01-21,58020,1,6523.0,6690.0,6523.0,6403.0,0.02367948132617821,2026-01-21 09:18:00
