date,miner_long,miner_short,pnl_miner,wire_long,wire_short,pnl_wire,pnl_total
2026-03-23,57060,50160,0.015610925813091368,58030,58020,0.002175485688577461,0.008893205750834415
2026-03-24,50160,57060,-0.007874278072361431,58030,58020,0.005867364272046082,-0.0010034569001576748
2026-03-25,50160,57060,0.0005539878345664677,58030,58010,-0.008664803014015208,-0.0040554075897243705
2026-03-26,57140,50160,-0.006649174226662398,58010,58020,-0.017142178232977062,-0.01189567622981973
2026-03-27,57130,50160,0.004769219476823932,58020,58010,-0.010377098655705755,-0.0028039395894409115
2026-03-30,57140,57060,-0.005075823832863945,58020,58030,-0.014156430466929923,-0.009616127149896934
2026-03-31,57060,57110,-0.006022202458557411,58010,58030,-0.012201524811566505,-0.009111863635061957
2026-04-01,57110,50160,-0.015319851078489552,58010,58030,0.017261497747925646,0.0009708233347180467
2026-04-02,57140,50160,-0.011216381276750691,58020,58030,0.004350650915456302,-0.0034328651806471945
2026-04-03,57060,57130,0.0026550734850141876,58030,58020,0.005977271906382349,0.004316172695698268
2026-04-06,50160,57130,-0.012128936198289753,58020,58010,-0.01404149297988965,-0.013085214589089702
2026-04-07,57130,57060,-0.006904199769352333,58010,58030,0.004200988946187137,-0.0013516054115825984
2026-04-08,50160,57140,0.0007487062100275709,58010,58030,0.0010943904134722736,0.0009215483117499222
2026-04-09,50160,57130,0.012621060115906729,58030,58020,-0.0012743477856668566,0.005673356165119936
2026-04-10,57060,57140,0.012952566442981345,58030,58010,-0.0038931103795774007,0.004529728031701972
2026-04-13,50160,57060,-0.0008713762140368925,58010,58020,0.0058570468370536845,0.002492835311508396
2026-04-14,50160,57060,0.009663780615334369,58020,58030,-0.008761395005025947,0.0004511928051542111
2026-04-15,57130,50160,0.001675181132370316,58030,58020,0.005705568516072455,0.0036903748242213853
2026-04-16,57060,50160,0.003970057394306115,58030,58010,-0.009126657926626657,-0.0025783002661602713
2026-04-17,50160,57130,0.006663659784341436,58030,58010,-0.008736329852361845,-0.0010363350340102046
2026-04-20,50160,57110,-0.01058790095333688,58030,58020,-0.01711912763147945,-0.013853514292408164
2026-04-21,57060,50160,-0.012704485887642754,58030,58020,0.013231038157898741,0.00026327613512799365
2026-04-22,57060,57140,0.002455641980208383,58020,58010,0.004197862347674724,0.0033267521639415536
2026-04-23,57140,50160,0.001959194119398615,58030,58020,-0.00019669076483480336,0.0008812516772819059
2026-04-24,57060,57140,-0.0057039981726422365,58010,58020,-0.0028917535473319497,-0.004297875859987093
2026-04-27,50160,57110,0.0023724957675254647,58030,58010,0.0017024851724338954,0.00203749046997968
2026-04-28,57060,50160,-0.009881388861244513,58010,58030,0.0005174573170586075,-0.004681965772092953
2026-04-30,57060,57110,-0.0035799128948977082,58030,58010,-0.008472315881401713,-0.006026114388149711
2026-05-01,57130,57060,0.0028798280985894865,58010,58020,-0.0024468243562024644,0.00021650187119351101
2026-05-07,57060,57130,-0.0032410033672909755,58020,58010,-5.3926351303053635e-05,-0.0016474648592970146
2026-05-08,50160,57130,-0.004950504463241448,58010,58030,-0.019741023204813683,-0.012345763834027565
2026-05-11,50160,57130,0.004894637630738751,58030,58010,0.01391931892864016,0.009406978279689455
2026-05-12,57110,50160,0.015469613617838445,58030,58020,0.024494931204856976,0.01998227241134771
2026-05-13,57060,50160,0.008630307887017527,58010,58030,-0.010591366740487978,-0.0009805294267352252
2026-05-14,57060,57110,-0.006691624669850042,58010,58020,-0.01542588398875555,-0.011058754329302796
2026-05-15,57110,57060,-0.0034109912787855957,58010,58020,0.002137120634006834,-0.0006369353223893807
2026-05-18,57060,57110,-0.016710527518727085,58010,58030,-0.010005639978432158,-0.013358083748579622
2026-05-19,57110,57060,-0.0005128995012222927,58010,58020,-0.009737939862314905,-0.005125419681768599
2026-05-20,57060,57110,-0.005717007286495389,58010,58030,-0.0046892100194634335,-0.0052031086529794116
2026-05-21,57060,57140,-0.007109351254490626,58030,58010,0.0030355361006045977,-0.0020369075769430143
