date,pnl,grp
2025-08-26,0.00015059648880139716,miner
2025-08-26,-0.005917256157900891,wire
2025-08-27,0.013701001004363797,miner
2025-08-27,-0.0006763144861438963,wire
2025-08-28,-0.01869321502790334,miner
2025-08-28,0.02202473928806157,wire
2025-08-29,-0.0030273324687186045,miner
2025-08-29,0.00482657459942353,wire
2025-09-01,-0.011429097575744054,miner
2025-09-01,0.014983911310161946,wire
2025-09-02,0.009162922650367543,miner
2025-09-02,-0.011996109950240277,wire
2025-09-03,0.0065139255737693795,miner
2025-09-03,-0.009029141044945191,wire
2025-09-04,-0.007019836330332981,miner
2025-09-04,-0.016165344712130443,wire
2025-09-05,-0.0009209004512183948,miner
2025-09-05,0.011430770944280124,wire
2025-09-08,0.012634732838993462,miner
2025-09-08,0.0005350076525189079,wire
2025-09-09,0.022106967976397246,miner
2025-09-09,0.003519755487438483,wire
2025-09-10,0.010631145043682597,miner
2025-09-10,-0.013748068473553945,wire
2025-09-11,-0.005563906675731303,miner
2025-09-11,0.0029645020731240883,wire
2025-09-12,0.023369410482070654,miner
2025-09-12,-0.012593587534954305,wire
2025-09-16,0.01832036424116939,miner
2025-09-16,0.0031081409225930633,wire
2025-09-17,0.010207340766513614,miner
2025-09-17,0.00038427731481603493,wire
2025-09-18,0.014646042068809833,miner
2025-09-18,0.003404077647407279,wire
2025-09-19,-0.01869221197571609,miner
2025-09-19,0.003754115953574431,wire
2025-09-22,0.013757548325503665,miner
2025-09-22,-0.0036822194332355443,wire
2025-09-24,0.004742708799148883,miner
2025-09-24,-0.011765373248675217,wire
2025-09-25,-0.021365490138571794,miner
2025-09-25,-0.0013481959034138532,wire
2025-09-26,0.0007316044308520982,miner
2025-09-26,-0.003647675619193099,wire
2025-09-29,0.0018105461807909062,miner
2025-09-29,0.018769122230082196,wire
2025-09-30,-0.020394317836019575,miner
2025-09-30,0.00904817828064066,wire
2025-10-01,-0.002569101854027143,miner
2025-10-01,-0.00661976120091976,wire
2025-10-02,-0.013732989978080671,miner
2025-10-02,-0.013821735409207217,wire
2025-10-03,-0.025461972708343536,miner
2025-10-03,-0.0026420289998730006,wire
2025-10-06,0.0018466957703614818,miner
2025-10-06,-0.012432150368769318,wire
2025-10-07,0.006812648445143491,miner
2025-10-07,-0.0008669543518459175,wire
2025-10-08,0.03356234483431319,miner
2025-10-08,-0.0052528505227381565,wire
2025-10-09,0.020504993083373328,miner
2025-10-09,-0.00976404755989158,wire
2025-10-10,0.01555531114424446,miner
2025-10-10,-0.006605217450070212,wire
2025-10-14,0.019901311329196446,miner
2025-10-14,-0.020573076112427383,wire
2025-10-15,-0.0006805342621134386,miner
2025-10-15,-0.0034827103315221083,wire
2025-10-16,-0.003285936140679669,miner
2025-10-16,0.007118436931164419,wire
2025-10-17,0.019737678866275102,miner
2025-10-17,0.010815550989698814,wire
2025-10-20,-0.02538771325432799,miner
2025-10-20,-0.0027019576077016855,wire
2025-10-21,0.010277407156424884,miner
2025-10-21,0.0064553122956483334,wire
2025-10-22,0.012078335782441552,miner
2025-10-22,0.005659947275602982,wire
2025-10-23,0.0032442583896728286,miner
2025-10-23,-0.0007994194607839501,wire
2025-10-24,0.03429091615672005,miner
2025-10-24,-0.0021719006358558723,wire
2025-10-27,-0.019214547300616433,miner
2025-10-27,-0.02519921628048573,wire
2025-10-28,-0.008191102808857442,miner
2025-10-28,0.03205082040783041,wire
2025-10-29,-0.002647758069471853,miner
2025-10-29,0.019973606726922423,wire
2025-10-30,0.007123624169667962,miner
2025-10-30,-0.026118200809072775,wire
2025-10-31,0.001768218900397786,miner
2025-10-31,-0.01215338444428614,wire
2025-11-04,-0.007859750555970976,miner
2025-11-04,-0.0014485529358929678,wire
2025-11-05,0.00017788238778185554,miner
2025-11-05,-0.003946557277585624,wire
2025-11-06,-0.015818928440166427,miner
2025-11-06,-0.01941086261600687,wire
2025-11-07,-0.016267266505428077,miner
2025-11-07,0.00756964059479045,wire
2025-11-10,-0.014183127244344779,miner
2025-11-10,0.06741875194809191,wire
2025-11-11,-0.0023752350924333594,miner
2025-11-11,0.007597949506294832,wire
2025-11-12,0.04539740112622759,miner
2025-11-12,0.005577693483898026,wire
2025-11-13,-0.022336660229204705,miner
2025-11-13,0.00026789440787520526,wire
2025-11-14,-0.02131459367736962,miner
2025-11-14,-0.0024627487604714274,wire
2025-11-17,-0.00809207652524988,miner
2025-11-17,-0.008429063533509869,wire
2025-11-18,0.007070315135866057,miner
2025-11-18,-0.0017714633920752326,wire
2025-11-19,0.0009827393338631358,miner
2025-11-19,0.009227664776965249,wire
2025-11-20,0.00894228064011123,miner
2025-11-20,0.011371233182043182,wire
2025-11-21,-0.022526648321072575,miner
2025-11-21,0.0070948990848972784,wire
2025-11-25,-0.04006034567472858,miner
2025-11-25,0.007274190454029855,wire
2025-11-26,-0.009136427540212844,miner
2025-11-26,0.004153476934893756,wire
2025-11-27,0.010257852920729801,miner
2025-11-27,-0.0006154711741424655,wire
2025-11-28,0.015985952757726477,miner
2025-11-28,-0.025407133409186988,wire
2025-12-01,-0.014632709273504671,miner
2025-12-01,-0.02826140472655493,wire
2025-12-02,0.00672715780325403,miner
