hypothesis,scale,horizon,N,gross,net,wr,t_stat,pf,sharpe
H11_52高値-30%超下,Core30,20,1578,3.5013269753888183,3.4013269753888187,59.125475285171106,11.373584386793022,2.158540297286601,0.9872902337877917
H12_20日高値×vol≥1.5x,Core30,20,534,1.7812331445113387,1.6812331445113387,58.98876404494382,4.107395652423227,1.5692131455173457,0.5955090401297634
H1a_MA25<-15%,Large70,5,408,3.253337765799308,3.153337765799309,65.44117647058823,7.107982195460426,2.4704160584676123,2.4214352227156875
H1b_MA25<-10%,Large70,5,1100,2.279852678909302,2.179852678909302,62.727272727272734,9.842761812102623,2.1852831855796606,2.0144489246341313
H1c_MA25 -10〜-5%,Large70,5,3087,0.5714663849736663,0.4714663849736664,58.47100745059929,6.602793129589403,1.3191010893096127,0.6960407854500534
H2a_20d下落<-20%,Large70,5,421,3.4059785818718527,3.305978581871853,65.55819477434679,8.097488832057422,2.875219352951835,2.719460161362176
H2b_20d下落<-10%,Large70,5,2559,1.5590391126035326,1.4590391126035327,60.68776865963267,13.28235219969921,2.0220438141151535,1.744476167888155
H3a_20d上昇>+20%,Large70,5,1208,-0.044454146322657144,-0.14445414632265702,46.771523178807946,-0.26279348834060917,0.9373227896584388,-0.17442717147628647
H3b_20d上昇>+10%,Large70,5,5627,0.2323766349733489,0.1323766349733489,50.29322907410698,3.462839389867424,1.0751036638097966,0.18669300162125227
H4a_BB<-1.8σ,Large70,5,550,1.775821595697591,1.6758215956975913,62.54545454545455,5.960765480295315,1.9861993600570047,1.7028030068688198
H4b_BB<-1.5σ,Large70,5,987,1.3819886573775444,1.281988657377544,60.58763931104356,6.580133453218717,1.781725170281517,1.3793392601860797
H5_52週高値×vol≥1.5x,Large70,5,436,0.18054816659827072,0.08054816659827077,48.853211009174316,0.6805421962464697,1.0414567093588865,0.10322613312364473
H6_5MA>25MA,Large70,5,1098,0.4402739629805781,0.34027396298057816,51.36612021857923,3.2573322731505807,1.2363186248336449,0.5393639015205886
H7a_5d<-8%,Large70,5,1110,1.8110083115571678,1.7110083115571681,60.450450450450454,7.7771061255111515,1.8440251413673077,1.565681715838044
H7b_5d>+10%,Large70,5,1001,0.4145089292661559,0.314508929266156,51.048951048951054,2.307823313207315,1.1613595111886597,0.3929161457806589
H8a_vol≥2.0x×陰線,Large70,5,683,1.1937090954906449,1.093709095490645,59.443631039531475,5.888321419901006,1.788095851041625,1.465546982356613
H8b_vol≥1.5x×陰線,Large70,5,1687,0.9990633480241164,0.8990633480241166,56.72791938352104,7.777732342202978,1.636084597159028,1.2097844196397374
H9a_MA25 -5〜0%,Large70,5,12270,0.3364425546848224,0.23644255468482253,54.034229828850854,9.078451760947916,1.1776517006035712,0.40890224805740505
H9b_MA25 -10〜-5%,Large70,5,3087,0.5714663849736663,0.4714663849736664,58.47100745059929,6.602793129589403,1.3191010893096127,0.6960407854500534
H10_vol≥2.0x×大陽線,Large70,5,592,0.46721258950452405,0.3672125895045242,52.36486486486487,1.9970800611098427,1.1920248303717706,0.45798675241467407
H11_52高値-30%超下,Large70,5,2931,0.6728798739272089,0.5728798739272091,54.41828727396793,6.308065431605571,1.3291583737949473,0.7042544097401456
H12_20日高値×vol≥1.5x,Large70,5,1082,0.2587225105786833,0.15872251057868342,49.53789279112754,1.6897648220279369,1.0906104958089824,0.22373411471531718
H1a_MA25<-15%,Large70,10,408,5.56687546109499,5.466875461094992,72.79411764705883,10.124113262604899,3.757598595542035,2.4708982332405336
H1b_MA25<-10%,Large70,10,1100,4.306920434176589,4.206920434176589,70.54545454545455,14.794844169222992,3.3873824178119656,2.187317222673781
H1c_MA25 -10〜-5%,Large70,10,3087,1.3898797492886226,1.289879749288623,59.863945578231295,11.588893715212508,1.718473729486865,0.9717307203941363
H2a_20d下落<-20%,Large70,10,421,5.91255314736076,5.81255314736076,72.44655581947742,10.801346858239164,4.24543656775043,2.5979393877124966
H2b_20d下落<-10%,Large70,10,2559,2.9264967128551658,2.826496712855166,66.04142243063697,17.869502056385443,2.634052717894048,1.7126870831574335
H3a_20d上昇>+20%,Large70,10,1208,0.8713909761194711,0.7713909761194712,51.241721854304636,3.571837122320377,1.2739240608047087,0.456688363411536
H3b_20d上昇>+10%,Large70,10,5627,0.7839872185053833,0.6839872185053834,53.18997689710325,8.136807456655266,1.2993460587604684,0.4750669915944833
H4a_BB<-1.8σ,Large70,10,550,3.0517912849336146,2.9517912849336145,64.9090909090909,8.000870407381724,2.5404023291142717,1.6564829855409788
H4b_BB<-1.5σ,Large70,10,987,2.37384488526627,2.2738448852662696,63.22188449848024,8.60456206779306,2.1819671452262694,1.3169793443753417
H5_52週高値×vol≥1.5x,Large70,10,436,0.6944241539001579,0.5944241539001579,56.42201834862385,2.153796897586144,1.2773306537921358,0.44323434240296333
H6_5MA>25MA,Large70,10,1098,0.6687903306474966,0.5687903306474967,52.82331511839708,3.326590223236443,1.269460630269783,0.4286083489729019
H7a_5d<-8%,Large70,10,1110,3.0182398588471053,2.918239858847105,62.70270270270271,10.24966696650432,2.2564953676734456,1.4931923984596516
H7b_5d>+10%,Large70,10,1001,1.6152328553520487,1.515232855352049,55.64435564435565,6.646488199159516,1.7111563936794285,0.9892810916623858
H8a_vol≥2.0x×陰線,Large70,10,683,2.6939208597582414,2.5939208597582417,64.56808199121524,10.316384682379667,2.8496757864725275,1.9080481719660485
H8b_vol≥1.5x×陰線,Large70,10,1687,2.195494599050231,2.0954945990502307,62.359217545939536,12.822898062653302,2.3283319758257948,1.4958329364621532
