p1,p2,n,corr,beta,adf_p,coint_p,hurst,spread_mean,spread_std,sector
4523.T,4188.T,304,0.42670309410946067,0.5288128298070346,0.07138391380639328,0.19249193972502965,0.456535768255276,-1.0047518372857667e-14,0.05825812995409828,医薬
4151.T,4188.T,304,0.39815152088396194,0.35020211108805543,0.08501406540243656,0.2201586689989397,0.3958477343456859,-3.313139236644546e-15,0.061939651472803295,医薬
4502.T,4578.T,304,0.513312315398839,0.6333775448095468,0.10000145962663298,0.24169349458780798,0.4761543853337485,8.239023498534057e-16,0.055974466799067445,医薬
4523.T,4568.T,304,0.5171943887634164,-0.18362873397455007,0.12489046319869995,0.29455643059364345,0.4554254301521934,-2.530139840329962e-15,0.08755210325667896,医薬
4578.T,4188.T,304,0.2946543906993301,0.9773714629051848,0.199202846881538,0.4115977430168466,0.49452948997414153,1.1210330909175594e-14,0.08275053545657181,医薬
4503.T,4188.T,304,0.4854569895542702,1.5282798839579834,0.22226512790006536,0.44360895974478076,0.5130866481785376,-1.003291017516523e-14,0.09622556273126864,医薬
4502.T,4503.T,304,0.64927383224971,0.4530036492744932,0.2378740944447419,0.46613404406784703,0.483728782194989,-1.5484689553982447e-15,0.048836851806078656,医薬
4502.T,4188.T,304,0.45183163699231804,0.6966727539864975,0.2582725055507654,0.49143870870133644,0.48103559427612674,-7.847523800376765e-15,0.06468945596904059,医薬
4523.T,4151.T,304,0.45615991808427847,0.5700156983969751,0.368223608473512,0.6158686473922204,0.48629420773073534,2.478134656544889e-14,0.07828197476677654,医薬
4503.T,4523.T,304,0.6682681421433391,1.8224677023760667,0.38683236148249406,0.6330734263017022,0.4502107788599586,-5.465803248601955e-14,0.1460826666779521,医薬
4502.T,4523.T,304,0.6060658498901655,0.7350795202955988,0.4993136071421739,0.7326838650844425,0.5271496724172144,2.8284392372095107e-14,0.08887846816927102,医薬
