sym,time,th,N,mean,wr,pf,sharpe,t
7011.T,10:00,120,21,18.66108224634562,61.904761904761905,1.2735623321563576,1.486200871503793,0.4290292366162856
7011.T,11:00,20,187,-11.136928614295087,48.663101604278076,0.7893324956848828,-1.3026806626527034,-1.1221695998964736
7011.T,11:00,30,160,-10.945248059132984,49.375,0.7960659299441155,-1.241633618136319,-0.989357348471936
7011.T,11:00,50,118,-14.811978924168391,49.152542372881356,0.7508156876497468,-1.5292267555099552,-1.0464358773318714
7011.T,11:00,80,74,-9.095332589493072,52.702702702702695,0.8293256014305924,-0.9853487437514963,-0.5339561053838893
7011.T,11:00,120,31,-43.515894926250496,45.16129032258064,0.42602689970398633,-4.405571667225768,-1.5451934090259907
7011.T,11:30,20,203,-8.32577659554037,51.724137931034484,0.8213671153293469,-1.1221001309878007,-1.0071156892460869
7011.T,11:30,30,179,-7.633992183082783,52.513966480446925,0.830301849521516,-1.0437168035559667,-0.8796480021082616
7011.T,11:30,50,128,-10.3183081244236,52.34375,0.7923468594565284,-1.3102390205852505,-0.9338029542499537
7011.T,11:30,80,81,-22.238648209263125,50.617283950617285,0.6281082169894477,-2.569581144424714,-1.4568155746604008
7011.T,11:30,120,29,-16.72851332398992,44.827586206896555,0.6870363048367301,-2.2647797478531335,-0.768289152438781
7011.T,13:30,20,211,5.605391440330983,52.60663507109005,1.2121170000346126,1.051218344263881,0.9619087785179737
7011.T,13:30,30,184,6.121354515003892,53.2608695652174,1.2276192741300385,1.10803238508974,0.9468062041255701
7011.T,13:30,50,136,4.178482955262343,52.94117647058824,1.1522788711335108,0.7558813356967721,0.5552937758771953
7011.T,13:30,80,98,0.7148115103658479,51.02040816326531,1.0228266449602323,0.12183105457693551,0.07597501088270833
7011.T,13:30,120,45,-15.219666132493108,46.666666666666664,0.6455278466821198,-2.677566753781477,-1.1314784671390188
7011.T,14:00,20,213,-1.6858214849795352,48.35680751173709,0.9337437950357558,-0.3816467761827783,-0.3508739528411647
7011.T,14:00,30,188,-1.0195698311903687,48.93617021276596,0.9602922252245052,-0.22567797934326883,-0.19492513283764204
7011.T,14:00,50,151,0.6076637014327867,49.668874172185426,1.0240441648232643,0.133649815691703,0.10345621070446569
7011.T,14:00,80,95,-1.0557747402978355,49.473684210526315,0.9623636160077852,-0.22723823942999463,-0.13952208192168886
7011.T,14:00,120,45,-12.029401857436063,40.0,0.7008690174140281,-2.165474289064762,-0.9150799044541467
5016.T,9:30,20,195,-37.31617549186682,42.05128205128205,0.6773549429995976,-2.24415418859164,-1.9741026335107756
5016.T,9:30,30,168,-25.028551340080874,42.857142857142854,0.7616624830867889,-1.5668833930315738,-1.2793549331227143
5016.T,9:30,50,101,-41.384250849612066,39.603960396039604,0.6539801677675852,-2.473445947215994,-1.5658957325990488
5016.T,9:30,80,55,-29.671312874878694,45.45454545454545,0.7894951722106887,-1.4438040076701981,-0.6745114360375457
5016.T,9:30,120,31,-112.78918304887752,38.70967741935484,0.4563370753635332,-5.158786361429451,-1.8093730590185997
5016.T,10:00,20,196,-40.9715257097096,44.38775510204081,0.6371548183661788,-2.536637737802105,-2.237104206828612
5016.T,10:00,30,169,-60.44165157152154,40.23668639053255,0.4943072801794492,-3.9502073633495853,-3.234915762792123
5016.T,10:00,50,122,-55.66121046326298,42.62295081967213,0.5518471294269254,-3.3663090698885987,-2.3422520739102897
5016.T,10:00,80,73,-57.327044499978825,43.83561643835616,0.5872917934644024,-3.198212887677573,-1.721347403058629
5016.T,10:00,120,39,-82.01569206767911,38.46153846153847,0.5399768339309904,-3.8720811987618164,-1.5232685976429174
5016.T,11:00,20,210,-12.641435079010924,47.14285714285714,0.834017652921962,-1.0576860115628266,-0.9655308121510501
5016.T,11:00,30,191,-18.429874340369352,44.50261780104712,0.7688086416907778,-1.531633873201804,-1.3334335429812534
5016.T,11:00,50,141,-4.054872722107353,47.5177304964539,0.9482623972169072,-0.3129401087515538,-0.23408334515609863
5016.T,11:00,80,93,-16.830576175325746,48.38709677419355,0.8130032783450131,-1.2174591560027388,-0.7395977887996987
5016.T,11:00,120,53,15.936898061077999,50.943396226415096,1.1814518977899349,1.030516763752159,0.4725989206094798
5016.T,11:30,20,209,-11.037641031873749,49.760765550239235,0.8484187667803388,-0.9226020087294653,-0.840208882524784
5016.T,11:30,30,190,-14.047652058965062,48.421052631578945,0.8175520813772135,-1.1384309490806896,-0.9885149092554222
5016.T,11:30,50,147,-6.013972173784603,51.70068027210885,0.926044366527398,-0.4436706428389595,-0.3388590507398748
5016.T,11:30,80,96,14.27171105851153,56.25,1.1943448380902506,1.0998310500557194,0.6788304616636907
5016.T,11:30,120,56,-6.53579310776672,51.78571428571429,0.9244820075791136,-0.4756358541098183,-0.22421689187767194
