sym,time,th,N,mean,wr,pf,sharpe,t
5706.T,14:00,10,21,-19.145731632068276,52.38095238095239,0.6897428651485222,-2.3666281782687335,-0.6831867078976035
5713.T,9:30,5,180,12.300222254675981,51.66666666666667,1.174815269457779,0.937503578397516,0.79233513810587
5713.T,9:30,10,134,2.2561396932269755,51.49253731343284,1.0288925595692195,0.1634134617963546,0.11916259687522596
5713.T,9:30,20,64,-5.37275843042611,53.125,0.9468771961533535,-0.32851238063141325,-0.1655546784298117
5713.T,10:00,5,130,-1.194287775276177,54.61538461538461,0.9837546519550258,-0.0911910138733469,-0.06549730793760053
5713.T,10:00,10,64,-30.553003326443168,56.25,0.6913511172605683,-2.022691714644132,-1.019340810647466
5713.T,10:00,20,23,-23.396823219192985,60.86956521739131,0.8070523928789023,-1.1864648729708014,-0.35844170332641906
5713.T,11:00,5,68,4.29592272769593,55.88235294117647,1.0683535051830992,0.38833045599763233,0.20172310237254204
5713.T,11:00,10,28,13.265677078169244,60.71428571428571,1.1961175384838678,1.0283461449942106,0.3427820483314036
5713.T,11:30,5,66,-10.32589196375298,48.484848484848484,0.8398378293339667,-1.0121497664870016,-0.5179841569510599
5713.T,11:30,10,21,37.12275019891087,61.904761904761905,1.7195217231539213,3.23626205178721,0.934228383383758
5713.T,13:30,5,45,10.245087046447846,60.0,1.2422218840155972,1.2750193435252717,0.5387940115207717
5713.T,14:00,5,43,5.3562475185899645,51.162790697674424,1.1259413286277091,0.6355891334310154,0.2625490317097126
1605.T,9:30,5,142,0.013848676183566971,47.88732394366197,1.0002887467319286,0.0016678085677795404,0.0012519589879048973
1605.T,9:30,10,94,-4.367417499176715,43.61702127659575,0.9190590475597126,-0.4988743074709994,-0.30468761010605366
1605.T,9:30,20,33,-16.947568110659784,42.42424242424242,0.764197248234679,-1.571547997144649,-0.5687014676375736
1605.T,10:00,5,77,1.1215504833026158,50.649350649350644,1.024435012018353,0.1397750780904676,0.07726358151145114
1605.T,10:00,10,32,-11.905406658319444,53.125,0.7668099396182163,-1.4252650304314514,-0.5078908027832787
1605.T,11:00,5,37,-0.7937557535966172,45.94594594594595,0.9798831587876712,-0.11542389902351378,-0.04422790136176525
1605.T,11:30,5,30,-31.41234500089217,33.33333333333333,0.4919667796299273,-4.32954767776308,-1.4938358699774852
1605.T,13:30,5,21,14.214674098961884,52.38095238095239,1.4607237049952033,2.4437666633605586,0.705454670463926
5020.T,9:30,5,160,1.5259038949155979,49.375,1.0347591280852757,0.20952787747781806,0.1669558090763998
5020.T,9:30,10,94,13.749459139626673,52.12765957446809,1.3293249871907575,1.7462342848606645,1.0665130333864286
5020.T,9:30,20,32,16.775687074472756,50.0,1.399854782495932,2.093356860944405,0.7459642058958613
5020.T,10:00,5,98,0.7093561998891189,48.97959183673469,1.0182078261062903,0.1129250727860273,0.07042115545697067
5020.T,10:00,10,43,10.02363860539359,58.139534883720934,1.2863856315373565,1.5395722077477743,0.6359661786685257
