sym,break_dir,persist,hold,N,mean,wr,pf,sharpe,t
5016.T,down,20,60,283,5.081430484131303,45.583038869257955,1.1573172990759397,0.6653620239191026,0.7051003932607359
5016.T,up,20,120,260,0.14770903859210438,53.07692307692308,1.0031460944435528,0.015417916309212128,0.015660733078820273
5016.T,down,20,120,283,-2.3868927394814996,48.409893992932865,0.9443673730409139,-0.2842725171005375,-0.30125053188364515
5016.T,up,30,30,184,-1.133061280453982,47.28260869565217,0.9534682884914596,-0.2604949085300376,-0.2225911434162524
5016.T,down,30,30,197,2.094140054025009,42.63959390862944,1.0875485780448586,0.3836637544659911,0.3392216912702298
5016.T,up,30,60,184,1.6530665636845698,46.19565217391305,1.0528376426335118,0.2684558396264025,0.22939370537570633
5016.T,down,30,60,197,12.408705706084968,47.20812182741117,1.427320098189918,1.551379208082093,1.371673692500776
5016.T,up,30,120,184,6.789836285290817,55.97826086956522,1.1838390510936083,0.8970025161245018,0.7664826035875665
5016.T,down,30,120,197,8.668201718853503,50.25380710659898,1.2460674179244557,1.0477707439965043,0.9264012034096563
5016.T,up,60,30,104,2.430991787206874,50.96153846153846,1.1164639431632937,0.6385140365520694,0.4101916808363771
5016.T,down,60,30,101,10.70671730990603,46.53465346534654,1.4687988314218003,1.6266797175807277,1.029822717950283
5016.T,up,60,60,104,5.246882537921758,50.0,1.2131161595150755,1.10641051016537,0.7107758966591753
5016.T,down,60,60,101,23.240383007820856,50.495049504950494,1.86007747264156,2.4259995340131266,1.5358582312559828
5016.T,up,60,120,104,16.735745936941,60.57692307692307,1.632078056434368,2.743706219862241,1.7626009791794726
5016.T,down,60,120,101,20.101342664127408,51.48514851485149,1.6328547308274002,2.138120687988597,1.3536071264753275
4502.T,up,20,30,218,-3.505415356709791,36.69724770642202,0.6265713889522219,-2.6725496510601365,-2.485728883674113
4502.T,down,20,30,249,-3.927703533785913,38.55421686746988,0.6138000093031559,-2.9343906959000807,-2.9168717889028035
4502.T,up,20,60,218,-2.729497905520455,44.95412844036697,0.7718759244782938,-1.5292651596580165,-1.4223640622169678
4502.T,down,20,60,249,-2.635862643794368,41.76706827309237,0.776732412899345,-1.4795345578572114,-1.4707014367753553
4502.T,up,20,120,218,-0.3434874180958757,50.0,0.9720424177713054,-0.17334429358882805,-0.16122690825329014
4502.T,down,20,120,249,-4.792331949403529,40.963855421686745,0.6813592374917589,-2.2472366544646447,-2.233820196320389
4502.T,up,30,30,171,-3.453837180122899,36.25730994152047,0.6327298196031942,-2.5776888263036857,-2.1233826956379107
4502.T,down,30,30,179,-3.6536423208845425,36.312849162011176,0.627754280482863,-2.8134924470779135,-2.3712208154422614
4502.T,up,30,60,171,-2.641826887523615,43.859649122807014,0.7753756428462004,-1.481703734858054,-1.2205600763577147
4502.T,down,30,60,179,-3.3925927398855618,40.22346368715084,0.7001398494497448,-2.0970519102171776,-1.7674023421439895
4502.T,up,30,120,171,-0.44541071394885673,49.122807017543856,0.9629079869230406,-0.23033578375587138,-0.1897401317112245
4502.T,down,30,120,179,-4.391952466761714,41.340782122905026,0.6856736891257719,-2.2977240352106807,-1.936529478190802
4502.T,up,60,30,93,-5.294329981358092,34.40860215053764,0.48252483282484077,-4.137951098255673,-2.5137758974020943
4502.T,down,60,30,106,-4.876155433987337,29.245283018867923,0.5173527900576025,-4.004284387417336,-2.5970336453371425
4502.T,up,60,60,93,-5.192963071246853,41.935483870967744,0.602330587205563,-2.9275560517378914,-1.7784695049331498
4502.T,down,60,60,106,-5.191298541433229,33.9622641509434,0.5630909858982633,-3.203818019667446,-2.077880186721763
4502.T,up,60,120,93,-3.4647557314454147,44.086021505376344,0.7304614585332908,-1.8500357653770831,-1.1238835853563296
4502.T,down,60,120,106,-5.3436490926341085,33.9622641509434,0.5926422597059811,-3.194480083550511,-2.0718239399801743
5706.T,up,20,30,257,-1.4007467613865368,47.47081712062256,0.9472970235999212,-0.27532261274517844,-0.2780405721495137
5706.T,down,20,30,255,-9.628774492813273,39.6078431372549,0.6688289438647393,-2.272509516087049,-2.285996337850737
5706.T,up,20,60,257,-1.2707351295008693,47.85992217898833,0.9633811365213983,-0.1897884475835896,-0.19166202160935056
5706.T,down,20,60,255,-9.459100796280092,42.745098039215684,0.7435661793252081,-1.6304391919396763,-1.6401154738749373
5706.T,up,20,120,257,2.2267961247498818,48.63813229571984,1.052990605735776,0.2670701426983708,0.2697066344805988
5706.T,down,20,120,255,-5.412993064600062,43.13725490196079,0.8747486596775054,-0.7219217776448081,-0.7262062175001736
5706.T,up,30,30,202,0.9654634338008167,50.495049504950494,1.0424776280809733,0.23261373616561704,0.20826235315684358
